,0
 'quite',153
 'depends',153
 'forced',153
 'recommendations',153
 'equality',153
 'legitimate',153
 'friend',153
 'continues',152
 'settled',152
 'considerable',152
 'senator',152
 'adjustment',152
 'opening',152
 'december',152
 'useful',152
 'favorable',152
 'facilities',152
 'sources',152
 'ships',152
 'november',152
 'district',152
 'resolve',152
 'unity',152
 'role',151
 'movement',151
 'regret',151
 'firm',151
 'turned',151
 'obtain',151
 'judge',151
 'heretofore',151
 'declaration',151
 'notice',151
 'gain',151
 'decades',151
 'destiny',151
 'continent',150
 'specific',150
 'board',150
 'regarded',150
 'guard',150
 'knew',150
 'carefully',150
 'advanced',150
 'opened',150
 'passage',150
 'patriotic',150
 'amendment',150
 'investment',150
 'truly',150
 'wherever',150
 'popular',149
 'surely',149
 'harmony',149
 'fought',149
 'include',149
 'consistent',149
 'designed',149
 'ports',149
 'outside',149
['senate',149
 'separate',149
 'propose',149
 'officer',149
 'miles',149
 'mere',149
 'returned',149
 'worth',149
 'section',148
 'companies',148
 'atlantic',148
 'appropriations',148
 'integrity',148
 'committee',148
 'worthy',148
 'agents',148
 'substantial',148
 'debate',148
 'suggest',148
 'africa',148
 '8',147
 'completed',147
 'enforce',147
 'meaning',147
 'crime',147
 'accomplish',147
 'costs',147
 'supposed',147
 'officials',147
 'deserve',146
 'elections',146
 'connected',146
 'perfect',146
 'thousand',146
 'protected',146
 'goods',146
 'intelligence',146
 'ending',146
 'morning',146
 'instance',146
 'maintaining',146
 'terrible',146
 'vision',145
 'august',145
 'of',145
 'obvious',145
 'if',145
 'absolutely',145
 'opposed',145
 'earlier',145
 'blessings',145
 'creating',145
 'comprehensive',145
 'unemployment',145
 'enjoy',145
 'negotiation',145
 'renewed',145
 'functions',144
 'bills',144
 'stay',144
 'ensure',144
 'gentlemen',144
 'spending',144
 'poor',144
 'forms',144
 'hostile',144
 'occurred',144
 'heavy',144
 'no',144
 'houses',143
 'impose',143
 'started',143
 'response',143
 'pursuit',143
 'forever',143
 'wholly',143
 'stands',143
 'supplies',143
 'fund',143
 'thereby',143
 'appeal',143
 'intend',142
 'expenses',142
 'denied',142
 'urgent',142
 'bonds',142
 'represent',142
 'quickly',142
 'proceed',142
 'seemed',142
 'steady',142
 'violation',142
 '15',142
 'jurisdiction',141
 'flag',141
 'proclamation',141
 'southern',141
 'achieved',141
 'ended',141
 'appears',141
 'resort',141
 'provides',141
 'disposition',141
 'removed',141
 'solve',141
 'low',141
 'germany',140
 'putting',140
 'science',140
 'lasting',140
 'burdens',140
 'unnecessary',140
 'thanks',140
 'contribute',140
 'moved',140
 'brave',140
 'defeat',140
 'whenever',140
 'religious',140
 'speaking',140
 'speech',140
 'protecting',140
 'shape',140
 'play',139
 'joined',139
 'review',139
 'letter',139
 'congressional',139
 'advantages',139
 'talking',139
 'arise',139
 'training',139
 'voice',139
 'interested',139
 'reports',138
 'grave',138
 'earnestly',138
 'evening',138
 'ten',138
 'pursued',138
 'chosen',138
 'daily',137
 'prompt',137
 'productive',137
 'repeat',137
 'largest',137
 'prosperous',137
 'council',137
 'considerations',137
 'desirable',137
 'expression',137
 'properly',136
 'language',136
 'informed',136
 'difficulty',136
 'remaining',136
 'treatment',136
 'eight',136
 'shows',136
 'minds',135
 'render',135
 'break',135
 'access',135
 'judicial',135
 'seriously',135
 'urged',134
 'admitted',134
 'spoke',134
 'founded',134
 'completely',134
 'article',133
 'grant',133
 'broad',133
 'performance',133
 'goals',133
 'earnest',133
 'invite',133
 'era',133
 'reference',133
 'territories',133
 'japan',133
 'holding',133
 'exactly',133
 'stock',133
 'mentioned',133
 'february',132
 'deficit',132
 'latter',132
 'eyes',132
 'represented',132
 'been',132
 'news',132
 'preservation',132
 'soil',131
 'thereof',131
 '7',131
 'ordered',131
 'parents',131
 'bank',131
 'using',131
 'convinced',131
 'dream',131
 '100',131
 'opposition',130
 'river',130
 'generous',130
 'trial',130
 'sovereignty',130
 'capable',130
 'seven',130
 'story',130
 'medical',130
 'agency',130
 'initiative',130
 'elements',130
 'liberal',130
 'agreements',130
 'banks',130
 'appropriation',129
 'agricultural',129
 'island',129
 'plain',129
 'uniform',129
 'democrats',129
 'largely',129
 'assured',129
 'potential',129
 'active',129
 'lets',129
 'gratitude',129
 'stable',128
 'offices',128
 'decade',128
 'renew',128
 'space',128
 'killed',128
 'sign',128
 'pending',128
 'room',128
 'says',128
 'fathers',128
 'drawn',128
 'indispensable',128
 'marked',127
 'passing',127
 'assumed',127
 'correct',127
 'reducing',127
 'dollar',127
 'legislature',127
 'obtained',127
 'promises',127
 'declare',127
 'systems',127
 'hopeful',126
 'conscience',126
 'proceedings',126
 'key',126
 'developing',126
 'adoption',126
 'eastern',126
 'civilized',125
 'conducted',125
 'spain',125
 'hemisphere',125
 'republicans',125
 'threaten',125
 'threats',125
 'over',125
 'regular',125
 'global',125
 'prospect',125
 'french',125
 'thinking',124
 'remedy',124
 'rapid',124
 'technology',124
 'speaker',124
 'affect',124
 'rising',124
 'efficiency',124
 'nevertheless',124
 'universal',124
 'securing',124
 'woman',124
 'destroyed',124
 'numerous',124
 'adopt',124
 'unable',124
 'effects',124
 'payments',123
